0.46 0 0.03 0.01 0.03 0.01 0 0 0.02 0 0.03 0 0.1 0.01 0 0.05 0.02 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0.02 0 0 0 0.05 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0.08;0.46 0 0.03 0.01 0.02 0 0 0 0.02 0 0 0 0.01 0 0.01 0.01 0.03 0.01 0 0 0 0.02 0 0 0 0 0.02 0 0 0 0 0.01 0.02 0 0.03 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0.1 0.01 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0.08;0.46 0.02 0.02 0.01 0.03 0 0 0 0.02 0 0 0 0.1 0 0 0 0 0 0 0 0.01 0.02 0 0 0 0 0 0 0.01 0 0 0 0.03 0 0 0.01 0 0 0.02 0 0.03 0 0.05 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0.05 0 0 0.08;
0.48 0 0.02 0.02 0.02 0.01 0 0 0.1 0 0 0.01 0.06 0 0 0.02 0 0 0 0 0.01 0.07 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.09 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01;0.48 0 0.02 0.02 0 0 0 0 0 0 0 0 0.02 0 0 0 0.02 0.01 0 0 0.01 0.07 0.01 0 0 0 0 0 0 0 0 0 0.1 0 0 0.01 0 0.01 0 0 0 0.01 0.09 0 0 0 0.01 0.01 0.06 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0.01;0.48 0 0 0.02 0.02 0.01 0 0 0.1 0 0 0 0.06 0 0 0.01 0 0 0 0 0.01 0.07 0 0 0 0.01 0.01 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0 0.09 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0.01 0 0 0.01 0.02 0 0 0.01;
0.46 0.01 0.01 0.03 0.05 0.03 0.01 0.01 0.03 0 0 0 0.06 0 0 0.04 0.02 0 0 0 0 0.02 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0.02 0 0 0 0 0.01 0 0 0.01 0.02 0 0 0.09;0.46 0.01 0.01 0.03 0.02 0 0 0 0 0 0 0.02 0.03 0 0 0.02 0.05 0.03 0.01 0.01 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.06 0 0 0.04 0.01 0 0 0 0 0 0 0 0.02 0 0 0.09;0.46 0.02 0 0.03 0.05 0 0 0 0.03 0 0 0.01 0.06 0.01 0 0.02 0.01 0 0 0 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.03 0 0.02 0.02 0.01 0 0 0 0 0 0 0.01 0.04 0 0 0.09;
0.54 0.01 0 0.04 0 0 0 0 0.06 0 0.06 0 0.09 0 0 0.02 0.01 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0.01 0.01 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0.05;0.54 0.01 0 0.04 0.01 0 0 0 0 0 0.01 0 0.03 0 0.01 0.01 0 0 0 0 0 0.02 0.01 0 0 0 0 0 0 0.01 0 0.01 0.06 0 0.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0.05;0.54 0.01 0 0.03 0 0 0 0 0.06 0 0 0 0.09 0 0 0.01 0.01 0 0 0 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0.06 0 0 0 0 0 0 0 0.04 0 0 0.01 0 0 0 0.01 0 0 0 0 0.02 0 0 0.05;
0.51 0.03 0.01 0.01 0.04 0 0 0 0.03 0 0 0.01 0.03 0 0 0.03 0.01 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0.01 0 0 0 0.02 0 0 0 0.02 0 0.01 0 0 0 0.11 0 0 0 0 0 0.05 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0.01 0 0;0.51 0.03 0.01 0.01 0.01 0 0 0 0.02 0 0 0 0.05 0 0 0 0.04 0 0 0 0 0.01 0 0 0.02 0 0.01 0 0 0.01 0 0 0.03 0 0 0.01 0 0.01 0.01 0 0 0 0.11 0 0 0 0.01 0 0.03 0 0 0.03 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0;0.51 0.01 0.02 0.05 0.04 0 0.02 0 0.03 0 0 0 0.03 0.01 0 0.01 0.03 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0.01 0.11 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0.03 0 0 0;
0.57 0.01 0 0.01 0.03 0.01 0 0.01 0.05 0 0 0 0.09 0.01 0 0.01 0.01 0 0 0 0 0.02 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0.09;0.57 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.03 0.01 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0 0 0.09 0.01 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0.09;0.57 0.01 0 0.01 0.03 0 0 0 0.05 0 0 0 0.09 0 0 0.02 0.01 0 0 0.01 0.01 0.02 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0 0.09;
0.5 0.01 0 0.02 0.04 0 0 0 0.01 0.01 0 0 0.11 0 0 0.02 0.01 0.03 0 0 0 0.08 0 0 0 0.04 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0 0.02 0 0 0 0 0 0.02 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.01;0.5 0.01 0 0.02 0.01 0.03 0 0 0 0 0 0 0.02 0.01 0 0.01 0.04 0 0 0 0 0.08 0 0 0 0 0.02 0 0.01 0 0 0 0.01 0.01 0 0 0 0.04 0.01 0 0 0 0.02 0 0 0 0 0 0.11 0 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0.01;0.5 0.01 0 0.02 0.04 0 0 0.01 0.01 0 0 0 0.11 0 0 0 0.01 0.03 0 0.01 0 0.08 0 0 0.01 0.04 0 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0.02 0 0 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0.01;
0.46 0 0.01 0.05 0.04 0 0.01 0 0 0 0 0 0.11 0 0 0.01 0.02 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0.03 0 0 0 0 0 0.03 0.01 0 0.01 0 0 0 0.01 0 0 0 0.02 0.02 0.01 0 0.11;0.46 0 0.01 0.05 0.02 0 0 0 0 0 0 0 0.03 0.01 0 0.01 0.04 0 0.01 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.03 0 0 0 0 0.02 0.11 0 0 0.01 0 0 0 0.01 0 0 0 0 0.02 0.01 0 0.11;0.46 0.02 0 0.03 0.04 0 0 0 0 0 0 0 0.11 0 0 0.02 0 0 0 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0 0.03 0 0 0 0 0 0.05 0 0 0.01 0 0 0 0.01 0 0 0 0.02 0.01 0.01 0 0.11;
0.52 0.01 0 0.01 0 0.01 0 0 0.01 0.01 0.01 0 0.15 0 0 0.04 0.01 0 0.01 0 0 0.03 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.03 0 0 0 0 0.01 0.02 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0.06;0.52 0.01 0 0.01 0.01 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0.03 0 0 0 0.01 0 0 0 0.01 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0 0.01 0.03 0 0 0 0 0 0.15 0 0 0.04 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0.06;0.52 0.01 0 0.02 0 0 0 0 0.01 0 0 0 0.15 0.01 0 0.01 0.01 0 0 0 0.01 0.03 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0.03 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0.01 0.06;
0.47 0.01 0 0 0.02 0 0 0 0.01 0 0 0 0.13 0.01 0 0.02 0.01 0 0 0 0 0.03 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.06 0.01 0 0 0 0 0.07 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0.08;0.47 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0.07 0 0 0.03 0.02 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.06 0.01 0 0 0 0 0.13 0.01 0 0.02 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0.08;0.47 0.01 0.01 0.07 0.02 0 0 0 0.01 0 0 0 0.13 0.01 0 0 0.01 0 0 0 0 0.03 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0.01 0 0.02 0.01 0 0.08;
0.5 0.01 0 0.02 0 0.01 0 0 0 0 0.02 0 0.15 0 0 0.05 0.03 0 0 0 0 0.03 0 0 0 0.02 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0.1;0.5 0.01 0 0.02 0.03 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.15 0 0 0.05 0.02 0 0 0 0 0 0 0.01 0 0 0.01 0.1;0.5 0.03 0 0 0 0 0 0 0 0 0 0 0.15 0.02 0 0 0.01 0 0 0 0.01 0.03 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0.01 0.02 0 0 0.02 0 0 0 0 0 0 0 0 0.05 0 0.01 0.1;
0.45 0 0.01 0 0.01 0.01 0 0 0.06 0.01 0.03 0 0.09 0.01 0.02 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0.03 0 0 0.04 0 0 0 0.01 0 0 0.01 0.01 0.01 0.01 0 0.13;0.45 0 0.01 0 0.01 0 0 0 0 0 0 0 0.03 0 0 0.04 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0.06 0.01 0.03 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0.09 0.01 0.02 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.13;0.45 0.01 0 0.03 0.01 0 0 0 0.06 0.01 0.01 0 0.09 0 0 0.01 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0.03 0 0 0.01 0.02 0 0 0 0 0 0 0.04 0 0 0 0.01 0 0 0 0.01 0 0 0.01 0.13;
0.51 0.01 0.04 0.03 0.06 0.01 0 0 0 0 0 0 0.01 0 0 0.04 0 0 0 0 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0.02 0 0 0.01 0.12 0 0 0 0.03 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.03;0.51 0.01 0.04 0.03 0 0 0 0 0.03 0 0 0 0 0 0 0 0.06 0.01 0 0 0.01 0.03 0 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0.12 0 0 0 0 0 0.01 0 0 0.04 0 0 0 0 0 0 0.03 0 0 0 0 0.03;0.51 0 0.03 0 0.06 0.01 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0.03 0 0.01 0 0 0.01 0 0 0 0 0 0.04 0 0 0 0 0 0.02 0 0 0 0.12 0 0 0 0.03 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0.03;
0.5 0.01 0.01 0 0.01 0 0 0 0.06 0 0 0 0.12 0.01 0 0.02 0 0 0.01 0.01 0 0.05 0 0 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.11;0.5 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.05 0 0 0 0.02 0 0 0 0 0 0 0.06 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0.12 0.01 0 0.02 0 0 0 0.02 0.01 0 0 0 0.01 0 0 0.11;0.5 0 0 0 0.01 0 0 0 0.06 0 0 0 0.12 0 0.01 0.01 0.01 0 0 0 0 0.05 0.02 0 0 0.01 0.01 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0.11;
0.51 0 0 0.05 0 0.01 0 0 0 0 0 0 0.13 0 0 0.03 0.01 0 0 0 0 0.12 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.04 0 0 0 0 0 0.03 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0.01;0.51 0 0 0.05 0.01 0 0 0 0 0 0 0 0.03 0 0 0.02 0 0.01 0 0 0 0.12 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0 0 0.13 0 0 0.03 0 0.01 0 0 0 0 0 0 0.01 0 0 0.01;0.51 0.01 0 0.03 0 0 0 0 0 0 0 0 0.13 0 0 0.01 0 0 0 0 0.01 0.12 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.04 0 0 0 0 0 0.05 0 0 0.02 0 0 0 0 0 0 0 0 0.03 0 0 0.01;
0.52 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0.15 0 0 0.02 0 0 0 0 0 0.04 0 0 0 0.02 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0.03 0 0 0.03 0 0 0 0 0 0 0.01 0 0.02 0.01 0 0.08;0.52 0 0.01 0.01 0 0 0 0 0 0 0 0 0.03 0 0 0.03 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0.01 0 0 0 0.02 0 0 0 0.01 0 0.15 0 0 0.02 0 0 0 0.01 0 0 0 0 0.02 0.01 0 0.08;0.52 0 0 0.03 0 0 0 0 0 0 0 0 0.15 0 0 0.02 0 0 0 0 0 0.04 0 0 0 0.02 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01 0.02 0.01 0 0 0 0 0.01 0 0 0.03 0 0 0 0 0 0 0 0 0.02 0.01 0 0.08;
0.49 0.01 0 0.04 0.03 0 0 0.01 0.08 0 0.02 0 0.09 0 0 0.06 0 0.01 0 0.01 0 0.03 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.05;0.49 0.01 0 0.04 0 0.01 0 0.01 0 0 0 0 0.02 0 0 0.01 0.03 0 0 0.01 0 0.03 0 0.01 0 0 0 0 0 0 0 0 0.08 0 0.02 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0.09 0 0 0.06 0 0 0 0 0 0 0 0 0 0 0 0.05;0.49 0 0 0.02 0.03 0 0 0 0.08 0 0 0 0.09 0 0 0 0.01 0.01 0 0 0 0.03 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0 0.04 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0.06 0 0 0.05;
0.44 0 0 0.05 0.03 0 0 0.01 0.02 0 0 0 0.12 0 0 0.03 0 0 0 0 0.01 0.03 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0.06 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0 0 0.13;0.44 0 0 0.05 0 0 0 0 0 0 0 0 0.06 0 0 0 0.03 0 0 0.01 0.01 0.03 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0.01 0.12 0 0 0.03 0 0 0 0.01 0 0 0 0 0.01 0 0 0.13;0.44 0 0 0.06 0.03 0.01 0 0 0.02 0 0 0.01 0.12 0 0 0.01 0 0 0 0 0 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0.05 0 0 0 0.01 0 0 0 0 0 0 0.01 0.03 0.01 0 0.13;
